Summary,Issue Type,Status,Priority,Description,Epic Link,Labels,Components
Baux historiques anciens locataires,Story,Done,Medium,"Baux TERMINE visibles dans l'historique des appartements",ImmoGest — Contrats & Baux,contrats historique,Contrats
ImmoGest — Paiements,Epic,Done,High,"Ventilation multi-mois, modification/suppression, reçus PDF, quittances",,paiements finance,Paiements
Ventilation multi-mois (1-12 mois),Story,Done,High,"Enregistrement d'un paiement ventilé sur plusieurs mois avec détail loyer/charges/caution/autres",ImmoGest — Paiements,paiements ventilation,Paiements
Modification et suppression de paiements,Story,Done,High,"Paiements enregistrés modifiables et supprimables",ImmoGest — Paiements,paiements crud,Paiements
Reçus PDF et quittances,Story,Done,Medium,"Génération de reçus PDF et quittances de loyer",ImmoGest — Paiements,paiements pdf,Paiements
Preuve de paiement,Story,Done,Medium,"Upload de preuve (capture Orange Money / virement)",ImmoGest — Paiements,paiements preuve,Paiements
ImmoGest — Finances & Reporting,Epic,Done,High,"Tableau de bord financier, reporting Excel/PDF/CSV, sous-navigation",,finances reporting,Finances
Tableau de bord financier annuel,Story,Done,High,"KPI annuels, graphiques barres revenus par catégorie, encaissé vs impayé, modes paiement, top impayés",ImmoGest — Finances & Reporting,finances dashboard,Finances
Export Excel coloré (xlsx-js-style),Story,Done,Medium,"Export Excel avec mise en forme colorée",ImmoGest — Finances & Reporting,reporting excel,Finances
Reporting impayés et cautions,Story,Done,Medium,"Bilan impayés, suivi cautions",ImmoGest — Finances & Reporting,reporting,Finances
Classement et rentabilité,Story,Done,Medium,"Classement locataires, rentabilité par appartement/immeuble",ImmoGest — Finances & Reporting,reporting analytics,Finances
Comparaison de périodes,Story,Done,Medium,"Comparaison revenus/impayés entre deux périodes",ImmoGest — Finances & Reporting,reporting comparaison,Finances
ImmoGest — Calendrier,Epic,Done,Medium,"Vue mensuelle des échéances avec code couleur vert/orange/rouge",,calendrier,Calendrier
Calendrier des échéances mensuel,Story,Done,Medium,"Vue mensuelle payés (vert) / partiels (orange) / impayés (rouge)",ImmoGest — Calendrier,calendrier,Calendrier
ImmoGest — Maintenance,Epic,Done,Medium,"Tickets maintenance gestionnaire + locataire, photos, suivi statut",,maintenance,Maintenance
Tickets maintenance gestionnaire,Story,Done,Medium,"Création et suivi de tickets côté gestionnaire",ImmoGest — Maintenance,maintenance,Maintenance
Tickets maintenance locataire,Story,Done,Medium,"Création de tickets côté portail locataire avec photos",ImmoGest — Maintenance,maintenance portail,Maintenance
ImmoGest — Messagerie,Epic,Done,Medium,"Chat temps réel entre gestionnaire et locataires",,messagerie,Communication
Messagerie intégrée temps réel,Story,Done,Medium,"Chat temps réel gestionnaire ↔ locataire",ImmoGest — Messagerie,messagerie chat,Communication
ImmoGest — Emails & Automatisation,Epic,Done,High,"Emails automatiques et cron quotidien",,emails cron automation,Automation
Factures mensuelles automatiques,Story,Done,High,"Envoi automatique des factures par email chaque mois",ImmoGest — Emails & Automatisation,emails,Automation
Rappels et mises en demeure,Story,Done,High,"Emails de rappel et mise en demeure pour impayés",ImmoGest — Emails & Automatisation,emails rappels,Automation
Cron quotidien (rappels/pénalités/suspensions/renouvellements),Story,Done,High,"Job cron : rappels, pénalités, suspensions, renouvellements auto",ImmoGest — Emails & Automatisation,cron automation,Automation
ImmoGest — Portail Locataire,Epic,Done,High,"Portail dédié locataire avec accueil, bail, paiements, maintenance, messagerie",,portail locataire,Portail
Accueil portail locataire (style bancaire),Story,Done,High,"Page d'accueil avec vue synthétique pour le locataire",ImmoGest — Portail Locataire,portail,Portail
Bail et signature côté locataire,Story,Done,High,"Consultation du bail et signature électronique",ImmoGest — Portail Locataire,portail bail,Portail
Paiements et preuve côté locataire,Story,Done,High,"Historique paiements et upload preuve",ImmoGest — Portail Locataire,portail paiements,Portail
ImmoGest — Documents,Epic,Done,Medium,"Dossier documents par locataire avec barre de progression",,documents,Documents
Dossier documents locataire,Story,Done,Medium,"Contrat, EDL, règlement intérieur — barre de progression complétude",ImmoGest — Documents,documents,Documents
ImmoGest — UI/UX & Design,Epic,Done,Medium,"Design premium IMMOSTAR, mode sombre, PWA, multi-langues",,ui design,UI
Design charte IMMOSTAR (bleu ciel/foncé + glassmorphism),Story,Done,Medium,"Charte #29ABE2 / #1B6B9E, logo partout, glassmorphism, animations",ImmoGest — UI/UX & Design,ui design,UI
Mode sombre,Story,Done,Low,"Toggle dark mode",ImmoGest — UI/UX & Design,ui darkmode,UI
PWA (Progressive Web App),Story,Done,Medium,"Installation comme app native sur mobile",ImmoGest — UI/UX & Design,pwa mobile,UI
Multi-langues FR/EN,Story,Done,Low,"Internationalisation français/anglais",ImmoGest — UI/UX & Design,i18n,UI
ImmoGest — Audit & Admin,Epic,Done,Low,"Audit log et paramètres admin",,admin audit,Admin
Audit log,Story,Done,Low,"Journal d'audit des actions",ImmoGest — Audit & Admin,audit,Admin
Paramètres (mot de passe + raccourcis),Story,Done,Low,"Page paramètres avec changement mot de passe",ImmoGest — Audit & Admin,admin settings,Admin
ImmoGest — Évolutions futures,Epic,To Do,Medium,"Fonctionnalités nice-to-have pour les prochaines versions",,roadmap v2,Roadmap
Intégration SMS (Twilio),Story,To Do,Medium,"Envoi de SMS aux locataires via Twilio pour rappels et notifications",ImmoGest — Évolutions futures,sms twilio,Roadmap
Intégration API Orange Money,Story,To Do,High,"Paiement en ligne via API Orange Money",ImmoGest — Évolutions futures,paiement orange-money,Roadmap
Publication Play Store (Capacitor),Story,To Do,Medium,"Packaging de l'app avec Capacitor pour publication sur Google Play Store",ImmoGest — Évolutions futures,mobile capacitor,Roadmap
Création comptes locataires en production,Story,To Do,High,"Créer les comptes locataires réels en prod pour activer le portail",ImmoGest — Évolutions futures,portail prod,Roadmap
Screenshots portail locataire dans le guide,Story,To Do,Low,"Ajouter les captures du portail locataire dans le guide utilisateur (nécessite comptes en prod)",ImmoGest — Évolutions futures,documentation guide,Roadmap
